image_id,caption
25646,A tin can of food has a recipe listed on the labeling.
25647,Quality issues are too severe to recognize visual content.
25648,I see a brush with a pick in it
25649,Blue can of Nestea lemon flavored tea beverage
25650,A white mug has a drawing of a person on it.
25651,a box of dipped & chewy chocolate fudge & chocolate chip bars
25652,"""a fine, fine school"" children's book by Sharon Creech"
25653,The back of a black wrapper for a candy or health bar.
25654,A glass jar of Edmal's Kapusta Kwaszona with an image of cabbages in the middle.
25655,A bottle of body lotion held by someone.
25656,a black piece of cloth on a purple fabric
25657,A frozen meal is packaged in clear plastic and unopened.
25658,Plastic bag full of trail mix with a label on it.
25659,A pair of blue shorts is on a beige table
25660,IMAGE WAS UNCLEAR BUT IT IS NOT ITEM
25661,"Bright birthday card with a tea cup, roses, and cupcakes illustrated on the front"
25662,a person's hand holding a pink bottle of something showing the back
25663,A bottle of Sangster's Jamaica Rum Cream logger
25664,Quality issues are too severe to recognize visual content.
25665,a container of Kraft brand vegemite made with yeast extract
25666,Quality issues are too severe to recognize visual content.
25667,Red shirt with a picture of a motorcycle on the front
25668,Quality issues are too severe to recognize visual content.
25669,A black cell phone on grey fabricked leg
25670,A box of crackers with the ingredient label showing
25671,Quality issues are too severe to recognize visual content.
25672,a bag of frozen cut broccoli on a counter top
25673,the open pocket and button pocket of men's khaki shorts
25674,a brown color dog is laying on a blue color cloth
25675,a small metal object holding two business card holders
25676,Quality issues are too severe to recognize visual content.
25677,Some dialogue or words about the fall preview.
25678,A white paper has braille textured writing in a sentence.
25679,A large blue bag of original potato chips.
25680,Quality issues are too severe to recognize visual content.
25681,Back of a white styrofoam container showing the label
25682,Bottom side of a silver battery power bank laying flat on a desk
25683,The top side of a mad money album with people dancing on it
25684,a bottle of suave brand shampoo in strawberry scent
25685,A Dirt Devil branded pink and black vacuum cleaner is on the carpet.
25686,The control button for temperature on a household electronic appliance
25687,A washer machine and dryer with a box of Clorox brand detergent.
25688,A blue packet of JSP brand tobacco on a surface.
25689,Can of Hannaford brand dark red kidney beans.
25690,Red Catalina dressing in a bottle on a glass table.
25691,A CD holder resting on someone's lap who is wearing white shorts.
25692,A black keyboard has white letters and symbols on it.
25693,I see a lamp that is attached to the ceiling
25694,"A box of what I think is no bake cheesecake mix, says its  microwave ready in 25 seconds per serving, some sort of desert mix anyways."
25695,Quality issues are too severe to recognize visual content.
25696,a sink dish drying container with green dish soap behind it
25697,A box of Kleenex antibacterial tissues next to some DVDs in paper envelopes.
25698,A portion of a tea package with product information as text is shown with other items in the background.
25699,A living room and a kitchen with a black couch.
25700,a black color dog sleeping on a brown color chair
25701,"A keyboard for an older laptop with a trackpad, an orange notification light is on  the trackpad."
25702,a book that titles Parliament on a floor surface
25703,a white human holding a container of pepto bismol pills in their left hand
25704,Quality issues are too severe to recognize visual content.
25705,"a can of some variety of organic beans, possibly black beans"
25706,a white and blue color circular object with Chobani Greek yogurt
25707,A Dove candy bar on a counter with a pair of glasses.
25708,An animal paint is on the wooden floor
25709,Quality issues are too severe to recognize visual content.
25710,a white colored tube with softening label on it
25711,Quality issues are too severe to recognize visual content.
25712,A golden retriever dog is in front of a person on a couch.
25713,A frozen bag of chicken breast from Trader Joe's is on a table.
25714,Quality issues are too severe to recognize visual content.
25715,A can of Plastic Dip is next to a can of chili which is next to the stove.
25716,A black sheet of paper displays the logo of a pizza place.
25717,A green unopened can of meatballs in someone's hand
25718,a Renuzit Aroma raspberry room gel freshener on a table surface
25719,A can of food is close to another can of corn on a table.
25720,A desktop with multiple items on it ranging from paper to pens.
25721,People and a dog standing next to some trees in the woods
25722,someone's left hand with a watch on it lifting a red blanket that is next to a blue blanket over other objects.
25723,"A purple sports cap with an embroidered blue logo on the front, sitting on top of a wooden surface."
25724,A plaid piece of cloth that is wrinkled.
25725,Quality issues are too severe to recognize visual content.
25726,The back side of a plastic candy bag container
25727,a packet of tazo earl grey tea on a glass table
25728,The instructions for microwave cooking the food product.
25729,"A printed periodical with writing on the cover, and a number in the upper right corner."
25730,Quality issues are too severe to recognize visual content.
25731,I see a spray can to control insects on a dusty table.
25732,A white floor vent with a black panel over it.
25733,This shirt looks to be made of a denim fabric.
25734,a vase with plant inside it placed in a corner
25735,"A computer keyboard with large, white keys, sits on top of a computer desk next to a monitor, volume controller, and a can of Dr Pepper."
25736,Five candy gum with it's black case and color design
25737,A  bedspread is rumbled on a floral-print blanket with a book and a stuffed toy on top.
25738,The oven has been set to a temperature just over 475 degrees.
25739,A green leaf with a long stem lays on the floor.
25740,A box of k cups for Tully's Kona blend coffee
25741,A CD case is on a person's lap.
25742,20 written in green with letter to the top left of it and small red marks close left to it
25743,a photo of a TV on a stand in the living room
25744,A picture of a windows Microsoft software license terms.
25745,Paper that is in a packaging with a label on it.
25746,"Two images, the top one would look like a chocolate candy bar cut in half with nuts and caramel visible sitting on a tan plate that is upside down while the second appears to be a dark blue garment laying on a lighter blue couch pillow ."
25747,A package of Gevalia brand French Vanilla coffee.
25748,"A bottle of ""the works"" toilet bowl cleaner."
25749,A can of food on the counter shows the expiration date.
25750,a black game console controller on a wood table
25751,A guys left hand holds a brown glass bottle holding a clear substance.
25752,A clear glass bottle of alcohol laying front down on a light grey shaggy carpet.
25753,a glass of wine on a table with a city skyline outside of the window in the background
25754,A red and white baseball cap with the word Astar emblazoned over the peak
25755,A can of food has a nutritional label and is yellow.
25756,"A yellow or off-white polo shirt from the chaps company, and a laurel style logo on the right breast."
25757,a welcome front yard decoration piece someone has inside their house
25758,Quality issues are too severe to recognize visual content.
25759,Quality issues are too severe to recognize visual content.
25760,a blue can of progresso brand soup with a recipe on it
25761,Quality issues are too severe to recognize visual content.
25762,a package of Trader Joe's raw pecan pieces
25763,Quality issues are too severe to recognize visual content.
25764,A wine bottle labeled Errazuriz Max Reserva 2088 Carmenere from Chile
25765,A can with the label showing and on top of a table.
25766,Quality issues are too severe to recognize visual content.
25767,several bottles of hard alcohol  on a white counter top
25768,A black cord running across light brown wooden surface with a wrapped yellow square item near the bottom.
25769,an image of miller's chill lemon placed on a surface
25770,It appears to be a Toshiba monitor but is possibly a Toshiba laptop.
25771,in the front cover of the CD having texts
25772,Quality issues are too severe to recognize visual content.
25773,the side of a red wine bottle with an eagle on it.
25774,A bottle of coffee creamer has a plastic flip top cap that can also be twisted off.
25775,"A jukebox blues CD with images of African American people on the front, sitting on a male's lap."
25776,I see a small white and orange bottle with zaditor labeled on it
25777,part of an off-white button-down shirt showing some of the buttons
25778,A green and white opened box of women's one a day vitamins.
25779,a box containing a baseball stand kids toy
25780,Quality issues are too severe to recognize visual content.
25781,Sitting on the counter is a transparent black phone case on top of a previously opened white envelope.
25782,A can of mixed vegetables on top of a counter
25783,"Can of soup that is red, gold, black, and white in color."
25784,An unopened bag of lays barbecue potato chips.
25785,A full bottle of Musselman's apple cider vinegar with a red label and white cap.
25786,The back of a dollar bill folded to show We Trust
25787,An apple computer wireless keyboard in the color silver.
25788,An empty bottle of alcohol in front of a tile backsplash.
25789,Quality issues are too severe to recognize visual content.
25790,A black soft briefcase on a table in a room with blue carpet
25791,A electronic device that is sitting on top of a counter.
25792,Quality issues are too severe to recognize visual content.
